id,name,artist,genre,acousticness,danceability,valence,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
0TN9m8rp3ZuNi4JwCKSans,U Don't Know Me (feat. Duane Harden),Armand Van Helden,house,0.0213,0.742,0.81,484533,0.7559999999999999,0.0227,10,0.0553,-6.197,1,0.0825,129.963,4
0VxgGWGWRcAPONRMALrJHJ,Madan - Exotic Disco Mix,Salif Keita,house,0.00391,0.82,0.9109999999999999,458293,0.723,0.8009999999999999,0,0.0298,-7.795,1,0.0597,128.005,4
2Q7DRtNo4Hc5AjmV0Xx8mf,Body Language,M.A.N.D.Y.,house,0.0116,0.7979999999999999,0.83,435975,0.6709999999999999,0.907,4,0.10300000000000001,-10.454,0,0.0553,129.993,4
0MyY4WcN7DIfbSmp5yej5z,Da Funk,Daft Punk,house,0.00196,0.8059999999999999,0.892,328680,0.7,0.8909999999999999,0,0.267,-5.269,0,0.0752,111.215,4
4DV5o6fmhZ6Hcc99dnUyQY,Can You Feel It - In House Dub,CLS,house,0.00183,0.8320000000000001,0.586,284920,0.858,0.7020000000000001,6,0.0811,-7.593999999999999,0,0.0434,121.928,4
3GtlLvrCqqV6tAM8ue7D0M,Finally,CeCe Peniston,house,0.0015,0.7559999999999999,0.821,248867,0.652,1.24e-05,11,0.048,-11.104000000000001,0,0.0351,120.115,4
4rz0D07CwZoOo6XCwqvwGC,Ian Pooley ''Chord Memory'' - Daft Punk Remix,Ian Pooley,house,0.00462,0.677,0.603,415853,0.88,0.8320000000000001,1,0.32899999999999996,-6.811,1,0.182,127.853,4
5SQsRtN6nyvpMHShbSoBOC,Love Somebody Else,Maceo Plex,house,0.00592,0.784,0.299,494492,0.758,0.7120000000000001,6,0.10300000000000001,-9.195,0,0.0649,124.00200000000001,4
2bpmisazTQ49QpLMGZGp1X,Hideaway - Deep Dish Radio Edit,De'Lacy,house,0.00389,0.7609999999999999,0.47700000000000004,211960,0.9590000000000001,0.6970000000000001,11,0.217,-7.5920000000000005,1,0.096,121.986,4
5aWVNrjqFHCATLIhS2na3t,Mothership Reconnection (feat.Parliament/Funkadelic) - (Daft Punk Remix),Scott Grooves,house,0.0886,0.846,0.78,240533,0.8320000000000001,0.2,1,0.0737,-5.486000000000001,1,0.42,126.132,4
2hBZEvGvuilbOqs6sIyUqk,Spin Spin Sugar - Armand's Dark Garage Mix,Sneaker Pimps,house,0.00303,0.7390000000000001,0.545,543467,0.956,0.273,0,0.35700000000000004,-4.8180000000000005,1,0.0764,128.99,4
5JYbPUFjUn0i8BQy1C5JTs,Percolator - Original Mix,Cajmere,house,0.057999999999999996,0.897,0.165,253718,0.568,0.332,0,0.12,-8.041,1,0.163,125.916,4
1jfNxpjSUGkqVxSSpXL02f,Been A Long Time - Original Mix,The Fog,house,0.0122,0.878,0.693,453968,0.716,0.0254,11,0.0722,-10.166,1,0.18899999999999997,120.007,4
0nKHRFSuc1RqtcJzZNQ4B1,Gotta Let You Go - Club Mix,Dominica,house,0.00716,0.768,0.515,410623,0.976,0.86,3,0.0891,-5.432,0,0.0669,126.369,4
1LmmfjmRZtfZhhDbSE5Ypv,Strobelite Honey - Def Mix,Black Sheep,house,0.0189,0.7509999999999999,0.41200000000000003,522390,0.785,0.125,8,0.0972,-15.387,0,0.0687,121.98100000000001,4
0qZctuvYFQHOjtKSTlJpbE,I Am The Black Gold Of The Sun - 4 Hero Remix,Nuyorican Soul,house,0.168,0.423,0.314,507760,0.638,0.664,8,0.141,-7.211,0,0.0387,114.045,5
36sL3KPEfXIp5KH3tDO7oo,Missing - Todd Terry Club Mix / US Radio Edit,Everything But The Girl,house,0.00925,0.718,0.6459999999999999,249533,0.757,0.10400000000000001,2,0.0851,-11.869000000000002,1,0.0327,123.473,4
5EI0N84j0ReqnQmDfalEmf,Dooms Night - Timo Maas Radio Edit,Azzido Da Bass,house,0.00217,0.905,0.611,226600,0.6709999999999999,0.11199999999999999,7,0.099,-8.227,1,0.439,131.954,3
0RMQgXHIBTsAVcaS7qahLq,What To Do - &ME Remix,Guy Gerber,house,6.54e-05,0.904,0.408,504590,0.727,0.86,7,0.0737,-9.992,0,0.0591,122.001,4
