,id,name,artist,genre,acousticness,danceability,valence,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
95,5oCqDrHazX9yIlI18RvFfW,Erlösung - Extended version,Franjo Pegasus,techno,0.000895,0.714,0.0383,538182,0.878,0.803,7,0.0601,-7.939,1,0.0827,132.0,4
96,1unzGHYCr3qL6Qa8MLoPCh,Nerves - Viers Remix,Rohar,techno,0.000706,0.779,0.0742,379672,0.973,0.91,11,0.292,-8.513,0,0.0359,138.0,4
97,0Z8ENeJMMOSW6iS1YQWiFO,Fade to Grey - Original Mix,MOTVS,techno,7.34e-05,0.636,0.158,273248,0.908,0.871,5,0.614,-5.238,0,0.042,130.006,4
98,2fVkyrXyYIFpMXErafCYcI,Modular,Decøder,techno,0.0882,0.733,0.0393,505861,0.931,0.868,1,0.0822,-7.385,1,0.0624,130.005,3
99,6eiEPJ16dOxe0hME3NWxfP,Kronos - Original Mix,HI-LO,techno,0.0527,0.683,0.107,287292,0.853,0.886,11,0.072,-7.081,0,0.0335,125.97,4
100,1oFLr7hchxTCxk45fKdIM9,Daje,MOTVS,techno,0.00083,0.68,0.249,351870,0.953,0.855,2,0.117,-3.003,1,0.051,131.023,4
101,51AXmIbm2qrVgGw4VnvGLM,Poseidon,HI-LO,techno,0.0134,0.728,0.345,266467,0.835,0.861,0,0.146,-6.129,1,0.0352,126.996,4
102,6TB3eCLi8kuFM43SMyRNHY,Year,Veerus,techno,0.0542,0.718,0.395,420100,0.856,0.923,1,0.111,-6.004,1,0.1,128.012,4
103,6Idl5j0XQ2zkskQd3cKEKd,Against a Dark Background,Spektre,techno,0.000287,0.515,0.0347,233990,0.978,0.882,1,0.104,-9.812,0,0.0624,129.97,4
104,2ksIkwelR9zZLamiD3jfj4,Acid Incident - Thomas Schumacher Remix,Reinier Zonneveld,techno,0.000149,0.709,0.0394,424601,0.876,0.912,0,0.0863,-8.445,1,0.0584,131.022,4
105,4Gw7GeSDl9SEeNwLKDSUeQ,Antisocial Behaviour - Original Mix,KIRK,techno,0.0711,0.652,0.18,408000,0.936,0.645,11,0.0809,-9.251,0,0.0622,128.003,4
106,2LJFyZegquP5reY4Qi0egR,Last Step,Ramon Tapia,techno,6.43e-05,0.828,0.318,456774,0.793,0.835,6,0.127,-6.7,0,0.0868,128.01,4
107,7MlM1fVIuXpd2Ev3RT9ikY,Acid Metal,MOTVS,techno,0.00437,0.604,0.0353,321199,0.958,0.778,7,0.293,-5.823,1,0.0439,132.988,4
108,70WGQaPJ2kZiFYakHcxFyp,Turn Your Back - Original Mix,Niereich,techno,4.53e-05,0.527,0.193,286512,0.981,0.74,6,0.107,-3.287,1,0.0924,129.011,4
109,44uK6MFWwtjGVAHVnsI59n,Consciousness,Pig&Dan,techno,0.00463,0.743,0.129,517656,0.932,0.898,10,0.11,-8.182,0,0.0403,130.007,4
110,4IKQjkafDVcE5Q2rL4DBsN,Fracture,Zimmz,techno,0.00547,0.752,0.0346,434646,0.64,0.917,9,0.102,-9.258,1,0.0543,127.0,4
111,5uiaOurAwsxrSAY0CZVr3R,Matter of Time - OC & Verde Remix,The Japanese Popstars,techno,0.0123,0.76,0.169,522500,0.665,0.809,9,0.0842,-8.639,1,0.0833,125.992,4
112,7egdagjq8ypTqzxolahfKb,Desire - Charlotte de Witte Remix,Bob Moses,techno,0.107,0.774,0.117,472289,0.725,0.806,7,0.107,-9.811,1,0.0616,130.016,4
113,7HfzbYD6EYmDEjI6CpiWnO,Midfield,Luigi Madonna,techno,0.00357,0.799,0.155,449280,0.654,0.871,7,0.102,-7.325,1,0.0664,124.983,4
